2026-03-29 12:15:37,829 | ERROR    | qushield.scanner | Scan failed for bureauone.pnb.bank.in:443: Could not resolve bureauone.pnb.bank.in
2026-03-29 12:15:37,830 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:37,831 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:37,841 | ERROR    | qushield.scanner | Scan failed for bureauonerrb.pnb.bank.in:443: Could not resolve bureauonerrb.pnb.bank.in
2026-03-29 12:15:37,842 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:37,843 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:37,848 | INFO     | qushield.scanner | Testing connectivity to cbdcr.pnb.bank.in:443
2026-03-29 12:15:42,858 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:42,860 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:42,871 | ERROR    | qushield.scanner | Scan failed for ccms.pnb.bank.in:443: Could not resolve ccms.pnb.bank.in
2026-03-29 12:15:42,871 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:42,872 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:42,876 | INFO     | qushield.scanner | Testing connectivity to cgps.pnb.bank.in:443
2026-03-29 12:15:47,889 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:47,890 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:47,911 | INFO     | qushield.scanner | Testing connectivity to cgrms.pnb.bank.in:443
2026-03-29 12:15:52,921 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:52,923 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:52,927 | INFO     | qushield.scanner | Testing connectivity to ckycr-admin.pnb.bank.in:443
2026-03-29 12:15:57,938 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:57,940 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:57,953 | ERROR    | qushield.scanner | Scan failed for collab-edge.pnb.bank.in:443: Could not resolve collab-edge.pnb.bank.in
2026-03-29 12:15:57,953 | INFO     | qushield.scanner | scan completed
2026-03-29 12:15:57,954 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:15:59,608 | INFO     | qushield.scanner | Testing connectivity to corpmbs.pnb.bank.in:443
2026-03-29 12:16:04,620 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:04,622 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:04,686 | INFO     | qushield.scanner | Testing connectivity to creditcard.pnb.bank.in:443
2026-03-29 12:16:09,696 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:09,698 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:09,746 | INFO     | qushield.scanner | Testing connectivity to data-agg.pnb.bank.in:443
2026-03-29 12:16:14,758 | INFO     | qushield.scanner | scan completed
2026-03-29 12:16:14,759 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:16:14,810 | INFO     | qushield.scanner | Testing connectivity to dcms.pnb.bank.in:443
